	SKW122	SKW133	SKW17	SKW120	SKW152	SKW150	SKW159	SKW184	SKW165	SKW180	SKW112	SKW105	SKW181	SKW110	SKW114	SKW149	SKW153	SKW179	SKW154	SKW128	SKW109	SKW177	SKW124	SKW144	SKW148	SKW167	SKW185	SKW178	SKW168	SKW106	SKW139	SKW138	SKW119	SKW162	SKW137	SKW104	SKW101	SKW131	SKW129	SKW147	SKW111	SKW99	SKW117	SKW182	SKW125	SKW135	SKW116	SKW141	SKW155	SKW142	SKW134	SKW102	SKW160	SKW170	SKW118	SKW173	SKW164	SKW98	SKW123	SKW130	SKW100	SKW108	SKW163	SKW176	SKW136	SKW121	SKW143	SKW186	SKW183	SKW172	SKW175	SKW174	SKW171	SKW113	SKW169	SKW126	SKW115	SKW166	SKW145	SKW140	SKW107	SKW151	SKW161	SKW146	SKW158	SKW97	SKW103	SKW156	SKW132	SKW157	SKW127
SKW122	0.0	0.756114605171	0.99930118798	0.447938504542	0.539482879106	0.522711390636	0.812718378756	0.61355695318	0.491963661775	0.566736547869	0.58141160028	0.40251572327	0.665967854647	0.617749825297	0.550663871419	0.738644304682	0.70929419986	0.701607267645	0.529699510832	0.361984626136	0.700908455625	0.556953179595	0.457721872816	0.510132774284	0.427672955975	0.487071977638	0.489867225716	0.605171208945	0.422781271838	0.663871418588	0.730258560447	0.494758909853	0.591893780573	0.575821104123	0.458420684836	0.61285814116	0.638714185884	0.436757512229	0.514325646401	0.544374563242	0.361285814116	0.728860936408	0.41858839972	0.640111809923	0.561146051712	0.488469601677	0.559748427673	0.524807826695	0.67714884696	0.507337526205	0.586303284416	0.447239692523	0.488469601677	0.779874213836	0.736547868623	0.723969252271	0.648497554158	0.747030048917	0.498951781971	0.907058001398	0.750524109015	0.417889587701	0.405310971349	0.623340321454	0.412299091544	0.364779874214	0.365478686233	0.640810621943	0.617051013277	0.576519916143	0.601677148847	0.686233403215	0.747030048917	0.314465408805	0.798742138365	0.524109014675	0.377358490566	0.417190775681	0.611460517121	0.420684835779	0.598881900769	0.717679944095	0.684136967156	0.614255765199	0.506638714186	0.712089447939	0.33822501747	0.651292802236	0.662473794549	0.439552760307	0.718378756115
SKW133	0.756114605171	0.0	0.99930118798	0.80573025856	0.406009783368	0.61285814116	0.993011879804	0.902166317261	0.644304682041	0.793850454228	0.198462613557	0.59748427673	0.858839972048	0.167016072676	0.546470999301	0.138364779874	0.229909154437	0.893081761006	0.43605870021	0.786862334032	0.139063591894	0.614954577219	0.522012578616	0.851153039832	0.654088050314	0.417889587701	0.74143955276	0.781271837876	0.565338923829	0.227812718379	0.139063591894	0.54786862334	0.199860237596	0.25786163522	0.761705101328	0.341020265549	0.426974143955	0.8392732355	0.529000698812	0.659678546471	0.522711390636	0.904262753319	0.721174004193	0.824598183089	0.83857442348	0.301886792453	0.368273934312	0.635918937806	0.368972746331	0.848357791754	0.222921034242	0.897973445143	0.54786862334	0.946890286513	0.988819007687	0.901467505241	0.358490566038	0.140461215933	0.602375960867	0.997204751922	0.915443745632	0.769392033543	0.526205450734	0.801537386443	0.682739343117	0.835080363382	0.707896575821	0.834381551363	0.797344514326	0.682739343117	0.831586303284	0.861635220126	0.916841369672	0.686233403215	0.958071278826	0.775681341719	0.798043326345	0.837875611461	0.965059399022	0.607966457023	0.969252271139	0.139063591894	0.930118798043	0.897274633124	0.59748427673	0.140461215933	0.665967854647	0.971348707198	0.139063591894	0.621942697414	0.143955276031
SKW17	0.99930118798	0.99930118798	0.0	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.998602375961	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.998602375961	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	1.0	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	1.0	0.99930118798	1.0	0.99930118798	1.0	0.99930118798	1.0	1.0	0.99930118798	0.99930118798	1.0	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	1.0	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798	1.0	0.99930118798	0.99930118798	0.99930118798	0.99930118798	0.99930118798
SKW120	0.447938504542	0.80573025856	0.99930118798	0.0	0.542278127184	0.593291404612	0.706498951782	0.791754018169	0.658280922432	0.762403913347	0.728162124389	0.557651991614	0.840670859539	0.756114605171	0.690426275332	0.763801537386	0.732354996506	0.878406708595	0.704402515723	0.523410202655	0.750524109015	0.765199161426	0.69392033543	0.561844863732	0.54856743536	0.598183088749	0.716981132075	0.778476589797	0.445842068484	0.780573025856	0.779175401817	0.749825296995	0.749825296995	0.615653389238	0.676450034941	0.772886093641	0.784067085954	0.593291404612	0.610062893082	0.745632424878	0.523410202655	0.90286512928	0.508036338225	0.823899371069	0.680642907058	0.557651991614	0.681341719078	0.614954577219	0.794549266247	0.559748427673	0.672257162823	0.618448637317	0.621243885395	0.946191474493	0.711390635919	0.898672257163	0.746331236897	0.779175401817	0.676450034941	0.996505939902	0.914744933613	0.475890985325	0.505241090147	0.808525506639	0.51572327044	0.546470999301	0.433263452131	0.819706498952	0.803633822502	0.809224318658	0.723969252271	0.856044723969	0.916142557652	0.479385045423	0.955276030748	0.719776380154	0.528301886792	0.585604472397	0.698113207547	0.466806429071	0.722571628232	0.800838574423	0.769392033543	0.714185883997	0.654786862334	0.804332634521	0.495457721873	0.684835779175	0.779175401817	0.520614954577	0.761006289308
SKW152	0.539482879106	0.406009783368	0.99930118798	0.542278127184	0.0	0.429070580014	0.783368273934	0.817610062893	0.524807826695	0.730258560447	0.317260656883	0.352201257862	0.819706498952	0.33822501747	0.433962264151	0.321453529001	0.303284416492	0.85464709993	0.257162823201	0.621942697414	0.356394129979	0.546470999301	0.383647798742	0.683438155136	0.524109014675	0.292802236198	0.668064290706	0.737246680643	0.41998602376	0.356394129979	0.393431167016	0.45213137666	0.340321453529	0.256464011181	0.639412997904	0.350803633823	0.399720475192	0.721174004193	0.388539482879	0.573025856045	0.331935709294	0.882599580713	0.48427672956	0.800139762404	0.690426275332	0.264849755416	0.262753319357	0.454227812718	0.373165618449	0.686233403215	0.285814116003	0.731656184486	0.35429769392	0.925227113906	0.795248078267	0.877009084556	0.320055904962	0.341719077568	0.482879105521	0.997204751922	0.893780573026	0.646401118099	0.372466806429	0.776380153739	0.547169811321	0.69392033543	0.540181691125	0.797344514326	0.767994409504	0.653389238295	0.748427672956	0.832285115304	0.895178197065	0.56464011181	0.934311670161	0.663871418588	0.660377358491	0.70999301188	0.831586303284	0.488469601677	0.856044723969	0.383647798742	0.809224318658	0.764500349406	0.410901467505	0.392033542977	0.462613556953	0.82250174703	0.378057302586	0.475192173305	0.299790356394
SKW150	0.522711390636	0.61285814116	0.99930118798	0.593291404612	0.429070580014	0.0	0.767994409504	0.544374563242	0.447239692523	0.486373165618	0.450034940601	0.196366177498	0.575122292103	0.50034940601	0.544374563242	0.592592592593	0.573724668064	0.610761705101	0.461914744934	0.695317959469	0.560447239693	0.308176100629	0.422781271838	0.763102725367	0.591194968553	0.510831586303	0.397624039133	0.484975541579	0.552061495458	0.577917540182	0.578616352201	0.298392732355	0.475192173305	0.528301886792	0.442348008386	0.525506638714	0.327044025157	0.524109014675	0.560447239693	0.348008385744	0.452830188679	0.635220125786	0.37037037037	0.555555555556	0.488469601677	0.551362683438	0.530398322851	0.575122292103	0.59678546471	0.756813417191	0.544374563242	0.668064290706	0.212438853948	0.678546470999	0.621942697414	0.631027253669	0.56394129979	0.605171208945	0.273235499651	0.733053808526	0.647099930119	0.665967854647	0.521313766597	0.530398322851	0.617749825297	0.701607267645	0.575821104123	0.552760307477	0.522711390636	0.413696715584	0.484975541579	0.588399720475	0.648497554158	0.508735150245	0.687631027254	0.437456324249	0.705800139762	0.51642208246	0.888190076869	0.557651991614	0.915443745632	0.586303284416	0.606568832984	0.573724668064	0.270440251572	0.589797344514	0.582110412299	0.885394828791	0.523410202655	0.552760307477	0.584206848358
SKW159	0.812718378756	0.993011879804	0.99930118798	0.706498951782	0.783368273934	0.767994409504	0.0	0.849755415793	0.858141160028	0.937106918239	0.900768693222	0.768693221523	0.962962962963	0.929419986024	0.911250873515	0.976939203354	0.95108315863	0.966457023061	0.904961565339	0.880503144654	0.936408106219	0.941998602376	0.897274633124	0.893780573026	0.904262753319	0.900069881202	0.890985324948	0.954577218728	0.890286512928	0.964360587002	0.960167714885	0.922431865828	0.936408106219	0.907756813417	0.907058001398	0.945492662474	0.956673654787	0.914046121593	0.91893780573	0.918238993711	0.873515024458	0.98322851153	0.770090845563	0.981830887491	0.830887491265	0.898672257163	0.883298392732	0.923829489867	0.981132075472	0.893081761006	0.908455625437	0.889587700908	0.819007686932	0.98392732355	0.775681341719	0.981132075472	0.930817610063	0.989517819706	0.864430468204	0.98392732355	0.98392732355	0.75751222921	0.882599580713	0.981132075472	0.904961565339	0.893081761006	0.865828092243	0.9678546471	0.976240391335	0.981830887491	0.700209643606	0.977638015374	0.98322851153	0.899371069182	0.981830887491	0.896575821104	0.888190076869	0.907756813417	0.893780573026	0.911250873515	0.923829489867	0.972047519217	0.899371069182	0.901467505241	0.880503144654	0.979734451433	0.886093640811	0.895178197065	0.976240391335	0.895877009085	0.966457023061
SKW184	0.61355695318	0.902166317261	0.99930118798	0.791754018169	0.817610062893	0.544374563242	0.849755415793	0.0	0.700908455625	0.292802236198	0.751222921034	0.562543675751	0.312368972746	0.819706498952	0.828791055206	0.890985324948	0.892382948987	0.321453529001	0.747728860936	0.831586303284	0.886093640811	0.339622641509	0.686233403215	0.876310272537	0.842767295597	0.845562543676	0.190076869322	0.317260656883	0.890286512928	0.846261355695	0.867924528302	0.555555555556	0.78965758211	0.87071977638	0.424877707897	0.80642907058	0.584905660377	0.441649196366	0.851851851852	0.536687631027	0.754716981132	0.333333333333	0.617749825297	0.330538085255	0.328441649196	0.866526904263	0.827393431167	0.85464709993	0.853948287911	0.877009084556	0.846960167715	0.701607267645	0.535290006988	0.382948986723	0.719776380154	0.33822501747	0.853249475891	0.892382948987	0.517819706499	0.494758909853	0.349406009783	0.814814814815	0.844863731656	0.330538085255	0.878406708595	0.79035639413	0.825995807128	0.32215234102	0.328441649196	0.494758909853	0.315863032844	0.342417889588	0.350104821803	0.740041928721	0.408106219427	0.382948986723	0.823899371069	0.437456324249	0.917540181691	0.878406708595	0.914744933613	0.879804332635	0.405310971349	0.366876310273	0.573724668064	0.872816212439	0.837875611461	0.959468902865	0.809224318658	0.891684136967	0.877707896576
SKW165	0.491963661775	0.644304682041	0.998602375961	0.658280922432	0.524807826695	0.447239692523	0.858141160028	0.700908455625	0.0	0.658979734451	0.544374563242	0.45143256464	0.742837176799	0.534591194969	0.546470999301	0.626834381551	0.589797344514	0.766596785465	0.470300489168	0.637316561845	0.589797344514	0.497554157932	0.478686233403	0.730258560447	0.546470999301	0.519217330538	0.538085255066	0.640810621943	0.53179594689	0.61285814116	0.610761705101	0.477288609364	0.508735150245	0.540880503145	0.568832983927	0.561844863732	0.518518518519	0.652690426275	0.561146051712	0.486373165618	0.431167016073	0.793151642208	0.522711390636	0.70999301188	0.603074772886	0.535290006988	0.51572327044	0.559748427673	0.632424877708	0.716282320056	0.551362683438	0.67784765898	0.461914744934	0.837875611461	0.810621942697	0.788958770091	0.58071278826	0.639412997904	0.452830188679	0.890985324948	0.80642907058	0.64500349406	0.51642208246	0.684835779175	0.576519916143	0.656184486373	0.556953179595	0.70929419986	0.678546470999	0.570929419986	0.637316561845	0.746331236897	0.808525506639	0.489168413697	0.846960167715	0.572327044025	0.666666666667	0.640810621943	0.852550663871	0.557651991614	0.886093640811	0.619147449336	0.731656184486	0.698113207547	0.41928721174	0.616352201258	0.526904262753	0.844164919637	0.551362683438	0.53249475891	0.61355695318
SKW180	0.566736547869	0.793850454228	0.99930118798	0.762403913347	0.730258560447	0.486373165618	0.937106918239	0.292802236198	0.658979734451	0.0	0.666666666667	0.459818308875	0.140461215933	0.702306079665	0.701607267645	0.783368273934	0.776380153739	0.187281621244	0.624737945493	0.704402515723	0.779175401817	0.234800838574	0.556254367575	0.815513626834	0.708595387841	0.734451432565	0.275331935709	0.103424178896	0.768693221523	0.723270440252	0.772187281621	0.410901467505	0.663172606569	0.75821104123	0.276030747729	0.681341719078	0.472396925227	0.357791754018	0.72606568833	0.412299091544	0.630328441649	0.22641509434	0.520614954577	0.118099231307	0.296995108316	0.749126484976	0.701607267645	0.726764500349	0.727463312369	0.811320754717	0.732354996506	0.684835779175	0.447239692523	0.288609364081	0.744234800839	0.229210342418	0.728860936408	0.787561146052	0.417889587701	0.413696715584	0.241090146751	0.75751222921	0.737945492662	0.0901467505241	0.767295597484	0.701607267645	0.708595387841	0.133473095737	0.083857442348	0.319357092942	0.275331935709	0.201257861635	0.256464011181	0.624039133473	0.314465408805	0.233403214535	0.69322152341	0.350803633823	0.912648497554	0.761006289308	0.897973445143	0.767994409504	0.314465408805	0.266247379455	0.454227812718	0.756813417191	0.687631027254	0.955276030748	0.700908455625	0.779874213836	0.764500349406
