#SampleID	BarcodeSequence	LinkerPrimerSequence	Gene	Fragment_length _bp	Field_ID	Type_of _Wastewater	Month_Collected	Sampling_Location	Description	singles_even_1410_alpha	singles_even_1410_normalized_alpha	singles_even_1410_alpha_label	simpson_e_even_1410_alpha	simpson_e_even_1410_normalized_alpha	simpson_e_even_1410_alpha_label	observed_species_even_1410_alpha	observed_species_even_1410_normalized_alpha	observed_species_even_1410_alpha_label	goods_coverage_even_1410_alpha	goods_coverage_even_1410_normalized_alpha	goods_coverage_even_1410_alpha_label	shannon_even_1410_alpha	shannon_even_1410_normalized_alpha	shannon_even_1410_alpha_label
SKW127			amoA	349	JA09A	OWTS	October	SP2	SKW127	2.07746478873	0.0445632798574	bin_1_of_4	0.0901934716467	0.114575248492	bin_1_of_4	14.9647887324	0.119208987095	bin_1_of_4	0.998526620718	0.955436720153	bin_4_of_4	0.860671096849	0.133084462944	bin_1_of_4
SKW128			amoA	349	JA11F	OWTS	June	SP1	SKW128	7.93661971831	0.256429844665	bin_2_of_4	0.158215175856	0.258103006849	bin_2_of_4	33.2323943662	0.360040850432	bin_2_of_4	0.994371191689	0.743570155331	bin_3_of_4	3.13404005987	0.768115353274	bin_4_of_4
SKW129			amoA	349	JA11F	OWTS	October	SP2	SKW129	2.68309859155	0.0664629488159	bin_1_of_4	0.262832940453	0.478849508445	bin_2_of_4	13.2042253521	0.0959985145298	bin_1_of_4	0.998097093198	0.933537051188	bin_4_of_4	2.21504599047	0.511408399149	bin_3_of_4
SKW130			amoA	349	JA12S	OWTS	October	SP1	SKW130	2.33802816901	0.0539852304558	bin_1_of_4	0.224247681973	0.39743349984	bin_2_of_4	6.77464788732	0.0112338687216	bin_1_of_4	0.998341823994	0.946014769549	bin_4_of_4	0.779856524288	0.110510146676	bin_1_of_4
SKW131			amoA	349	JA12S	OWTS	October	SP2	SKW131	1.56338028169	0.025974025974	bin_1_of_4	0.270288142966	0.494580200834	bin_2_of_4	13.5352112676	0.100362083372	bin_1_of_4	0.998891219659	0.974025974029	bin_4_of_4	2.24098399553	0.518653784617	bin_3_of_4
SKW132			amoA	349	JA01A	OWTS	August	SP1	SKW132	3.5	0.0960020371785	bin_1_of_4	0.124603167773	0.187180700062	bin_1_of_4	10.6901408451	0.0628539597066	bin_1_of_4	0.997517730497	0.903997962819	bin_4_of_4	0.759025177506	0.104691228186	bin_1_of_4
SKW133			amoA	349	JA01A	OWTS	August	SP2	SKW133	15.9718309859	0.546982429335	bin_3_of_4	0.0358931484761	0.0	bin_1_of_4	38.6338028169	0.431250580262	bin_2_of_4	0.988672460294	0.453017570664	bin_2_of_4	1.16589125179	0.218343050481	bin_1_of_4
SKW134			amoA	349	JA03F	OWTS	August	SP1	SKW134	2.71830985915	0.0677361853832	bin_1_of_4	0.109408052691	0.155118568851	bin_1_of_4	15.3943661972	0.124872342401	bin_1_of_4	0.998072120667	0.932263814616	bin_4_of_4	1.33003819963	0.264194992744	bin_2_of_4
SKW135			amoA	349	JA03F	OWTS	August	SP2	SKW135	1.76056338028	0.0331041507512	bin_1_of_4	0.162655523722	0.267472268953	bin_2_of_4	11.6197183099	0.0751090892211	bin_1_of_4	0.998751373489	0.966895849253	bin_4_of_4	1.38676267808	0.280040109238	bin_2_of_4
SKW136			amoA	349	JA05F	OWTS	August	SP1	SKW136	3.45774647887	0.0944741532977	bin_1_of_4	0.127056433624	0.192357161788	bin_1_of_4	16.661971831	0.141583882648	bin_1_of_4	0.997547697533	0.905525846699	bin_4_of_4	1.43638394339	0.293901051654	bin_2_of_4
SKW137			amoA	349	JA05F	OWTS	August	SP2	SKW137	3.09154929577	0.0812324929972	bin_1_of_4	0.245340612308	0.441940191392	bin_2_of_4	14.9647887324	0.119208987095	bin_1_of_4	0.997807411847	0.918767507001	bin_4_of_4	2.2154776819	0.511528985555	bin_3_of_4
SKW138			amoA	349	JA06F	OWTS	August	SP1	SKW138	2.23943661972	0.0504201680672	bin_1_of_4	0.226450278563	0.402081042191	bin_2_of_4	15.3591549296	0.12440813295	bin_1_of_4	0.998411747078	0.949579831935	bin_4_of_4	2.320788962	0.540946082847	bin_3_of_4
SKW139			amoA	349	CH05	OWTS	August	SP1	SKW139	4.04929577465	0.115864527629	bin_1_of_4	0.0905489882689	0.115325398822	bin_1_of_4	12.323943662	0.0843932782471	bin_1_of_4	0.997128159025	0.884135472367	bin_4_of_4	0.387784812389	0.000990903504508	bin_1_of_4
SKW140			amoA	349	CH06	OWTS	August	SP1	SKW140	1.97183098592	0.0407435701553	bin_1_of_4	0.249643105471	0.451018576096	bin_2_of_4	13.7042253521	0.102590288738	bin_1_of_4	0.998601538308	0.959256429849	bin_4_of_4	2.08750067944	0.475780564979	bin_2_of_4
SKW141			amoA	349	JA07S	OWTS	August	SP2	SKW141	2.28873239437	0.0522026992615	bin_1_of_4	0.349627306282	0.661988124421	bin_3_of_4	12.4225352113	0.0856930647108	bin_1_of_4	0.998376785536	0.947797300744	bin_4_of_4	2.37130860168	0.555057972419	bin_3_of_4
SKW142			amoA	349	JA08S	OWTS	August	SP1	SKW142	1.83802816901	0.0359052711994	bin_1_of_4	0.280009274696	0.515092069247	bin_3_of_4	13.5211267606	0.100176399591	bin_1_of_4	0.998696433923	0.964094728807	bin_4_of_4	2.44952196766	0.576905681366	bin_3_of_4
SKW143			amoA	349	CH06	OWTS	August	SP2	SKW143	4.05633802817	0.116119174943	bin_1_of_4	0.19631923017	0.338503660779	bin_2_of_4	23.7676056338	0.235261349921	bin_1_of_4	0.997123164519	0.883880825052	bin_4_of_4	2.85826646672	0.691082212928	bin_3_of_4
SKW144			amoA	349	JA10S	OWTS	August	SP1	SKW144	2.88028169014	0.0735930735931	bin_1_of_4	0.154432494893	0.250121440883	bin_2_of_4	14.9084507042	0.118466251973	bin_1_of_4	0.997957247028	0.926406926406	bin_4_of_4	1.8641305573	0.41338553371	bin_2_of_4
SKW145			amoA	349	JA10S	OWTS	August	SP2	SKW145	2.28873239437	0.0522026992615	bin_1_of_4	0.0960055680905	0.126838939672	bin_1_of_4	13.4647887324	0.0994336644694	bin_1_of_4	0.998376785536	0.947797300739	bin_4_of_4	0.858220633144	0.132399963343	bin_1_of_4
SKW146			amoA	349	JA12S	OWTS	August	SP1	SKW146	3.44366197183	0.0939648586707	bin_1_of_4	0.103337185779	0.142308864517	bin_1_of_4	20.5211267606	0.192461238511	bin_1_of_4	0.997557686545	0.906035141326	bin_4_of_4	1.72582387174	0.374751673964	bin_2_of_4
SKW147			amoA	349	JA12S	OWTS	August	SP2	SKW147	1.58450704225	0.0267379679144	bin_1_of_4	0.509820317608	1.0	bin_4_of_4	8.42957746479	0.0330517129329	bin_1_of_4	0.99887623614	0.973262032089	bin_4_of_4	2.3152389882	0.53939578245	bin_3_of_4
SKW148			amoA	349	PO06A	OWTS	August	SP1	SKW148	2.52112676056	0.0606060606061	bin_1_of_4	0.261942743863	0.476971167955	bin_2_of_4	15.6690140845	0.128493176121	bin_1_of_4	0.998211966837	0.939393939396	bin_4_of_4	2.31054786555	0.538085389004	bin_3_of_4
SKW149			amoA	349	JA13A	OWTS	August	SP2	SKW149	5.57746478873	0.171122994652	bin_1_of_4	0.071077472788	0.0742399393907	bin_1_of_4	17.7464788732	0.155881533748	bin_1_of_4	0.996044351214	0.828877005341	bin_4_of_4	0.761114227243	0.105274772317	bin_1_of_4
SKW150			amoA	349	SK07	OWTS	August	SP1	SKW150	10.4788732394	0.348357524828	bin_2_of_4	0.125657387888	0.189405134921	bin_1_of_4	34.161971831	0.372295979946	bin_2_of_4	0.992568175007	0.651642475168	bin_3_of_4	2.79545415364	0.673536552832	bin_3_of_4
SKW151			amoA	349	SK07	OWTS	August	SP2	SKW151	1.98591549296	0.0412528647823	bin_1_of_4	0.110988508173	0.158453375514	bin_1_of_4	10.0211267606	0.0540339801318	bin_1_of_4	0.998591549296	0.958747135221	bin_4_of_4	0.384237442794	0.0	bin_1_of_4
SKW152			amoA	349	JA16	OWTS	August	SP2	SKW152	5.47887323944	0.167557932264	bin_1_of_4	0.141032900696	0.221847910539	bin_1_of_4	21.8450704225	0.20991551388	bin_1_of_4	0.996114274298	0.83244206773	bin_4_of_4	2.34743892487	0.548390342851	bin_3_of_4
